Date,Weight
2013-07-13,104.0
2018-04-21,101.6
2018-08-04,101.6
2018-09-13,101.6
2019-07-25,101.6
2019-07-29,100.3
2019-08-05,99.7
2019-08-16,98.2
2019-08-21,97.9
2019-08-31,97.2
2019-09-06,97.3
2019-09-09,96.5
2019-09-13,96.1
2019-09-16,95.2
2019-09-17,94.8
2019-09-20,94.8
2019-09-24,94.3
2019-10-08,93.4
2019-10-15,93.4
2019-10-21,93.4
2019-11-02,92.1
2019-11-22,91.6
2020-01-04,95.3
2020-01-10,93.4
2020-04-03,93.0
2020-04-05,93.0
2020-04-15,91.6
2020-04-17,91.2
2020-04-24,90.3
2020-05-06,89.4
2020-05-15,88.4
2020-06-01,87.1
2020-06-09,86.2
2020-06-10,85.7
2020-06-19,85.3
2020-07-03,84.4
2020-07-11,83.5
2020-09-26,87.1
2020-10-13,85.7
2020-11-25,83.9
2020-12-01,83.5
2020-12-02,83.0
2020-12-18,82.6
2020-12-28,84.8
2021-01-01,86.6
2021-01-02,85.7
2021-01-04,86.2
2021-01-05,85.3
2021-01-06,84.8
2021-01-07,84.4
2021-01-09,83.9
2021-01-10,84.8
2021-01-12,85.3
2021-01-13,84.4
2021-01-15,83.0
2021-01-16,83.0
2021-01-17,84.4
2021-01-18,84.8
2021-01-19,83.9
2021-01-20,83.5
2021-01-22,83.0
2021-01-23,82.6
2021-01-24,84.4
2021-01-25,83.5
2021-01-26,82.6
2021-01-30,82.1
2021-01-31,83.9
2021-02-01,84.4
2021-02-02,83.0
2021-02-03,82.6
2021-02-05,82.6
2021-02-07,84.4
2021-02-08,83.5
2021-02-09,83.0
